TEAM,YEAR,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Final,OverallRank
KIA,1982,1-0-1,4-0-7,7-0-6,8-0-6,4-0-6,3-0-8,9-0-8,2-0-0,38-0-42,4
KIA,1983,,2007-01-04,11-0-9,12-0-6,9-0-5,8-0-9,7-0-10,1-0-1,55-1-44,1
KIA,1984,,7-0-9,9-0-14,2003-02-06,8-0-7,12-0-10,2004-01-08,,43-3-54,5
KIA,1985,1-0-1,11-0-9,9-0-9,9-0-6,9-0-13,2011-01-07,7-0-7,,57-1-52,3
KIA,1986,1-1-0,13-0-7,15-0-6,2006-01-06,2014-02-06,12-0-7,6-0-5,,67-4-37,1
KIA,1987,,2008-01-07,2009-01-10,9-0-6,5-0-6,2009-01-08,2013-02-08,2-0-3,55-5-48,1
KIA,1988,,9-0-10,2018-01-04,8-0-7,2010-01-07,15-0-8,8-0-2,,68-2-38,1
KIA,1989,,9-0-6,2011-02-08,11-0-5,2006-01-07,12-0-7,2014-01-13,2-0-5,65-4-51,1
KIA,1990,,2007-01-07,11-0-9,9-0-8,2010-02-10,12-0-9,19-0-5,0-0-1,68-3-49,3
KIA,1991,,11-0-9,19-0-8,2013-01-05,2012-01-08,2013-03-09,11-0-3,,79-5-42,1
KIA,1992,,11-0-9,18-0-6,10-0-8,15-0-11,2014-01-10,3-0-10,,71-1-54,3
KIA,1993,,13-0-4,2016-01-07,15-0-9,11-0-10,16-0-4,2010-02-08,,81-3-42,1
KIA,1994,,2006-02-10,18-0-7,10-0-15,11-0-8,12-0-12,8-0-7,,65-2-59,4
KIA,1995,,5-0-7,12-0-12,12-0-14,2009-01-06,2014-03-09,12-0-10,,64-4-58,4
KIA,1996,,5-0-9,14-0-13,13-0-9,2015-01-05,2017-01-07,9-0-8,,73-2-51,1
KIA,1997,,10-0-6,15-0-9,2011-01-10,11-0-6,14-0-11,14-0-7,0-0-1,75-1-50,1
KIA,1998,,5-0-9,11-0-13,10-0-11,10-0-10,9-0-11,2015-01-08,1-0-2,61-1-64,5
KIA,1999,,11-0-11,10-0-16,2013-02-10,10-0-10,10-0-11,2004-01-06,2-0-5,60-3-69,7
KIA,2000,,10-0-13,2009-01-15,2011-01-10,9-0-9,2010-02-12,1-0-9,7-0-4,57-4-72,6
KIA,2001,,2009-01-11,2013-01-13,2011-01-12,2005-02-09,8-0-13,12-0-9,2-0-1,60-5-68,5
KIA,2002,,2013-02-06,13-0-11,2015-01-05,11-0-7,7-0-10,2016-01-06,3-0-6,78-4-51,3
KIA,2003,,2012-01-07,11-0-13,10-0-12,2009-01-06,2019-02-04,2016-01-07,1-0-1,78-5-50,3
